                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7206,                 1.2043,                 1.2845,                0.72125,                0.63552,                0.68896,                0.33986,                 1.8006,                 1.2976,                 1.2795,              0.0059163,              0.0059163,              0.0059163
                     36,                 1.6862,                 1.1968,                 1.2721,                0.71393,                0.62257,                0.68213,                 0.3146,                 1.9036,                 1.2649,                 1.3204,              0.0057925,              0.0057925,              0.0057925
                     37,                 1.7186,                 1.2044,                 1.2796,                0.72529,                0.58616,                0.65392,                0.31915,                  1.815,                 1.3044,                 1.2846,              0.0056688,              0.0056688,              0.0056688
                     38,                  1.684,                 1.1719,                 1.2681,                 0.7341,                0.60315,                0.67796,                0.34578,                 1.7496,                 1.2151,                 1.2626,               0.005545,               0.005545,               0.005545
                     39,                  1.691,                 1.1771,                 1.2685,                0.71973,                0.63429,                0.68563,                0.33977,                 1.8032,                 1.2884,                 1.2907,              0.0054212,              0.0054212,              0.0054212
                     40,                 1.6921,                 1.1677,                 1.2694,                0.73732,                0.63875,                0.69245,                0.34541,                 1.7724,                 1.2376,                 1.2688,              0.0052975,              0.0052975,              0.0052975
                     41,                 1.6746,                 1.1527,                  1.255,                0.71046,                0.63556,                 0.6969,                0.34485,                 1.8008,                 1.1965,                   1.28,              0.0051737,              0.0051737,              0.0051737
                     42,                 1.6801,                 1.1335,                 1.2586,                0.75778,                0.62222,                0.69961,                0.36693,                 1.7026,                 1.1848,                  1.251,                0.00505,                0.00505,                0.00505
                     43,                 1.6811,                 1.1491,                 1.2626,                0.71126,                0.63552,                0.68169,                0.32181,                  1.881,                 1.2276,                 1.3264,              0.0049263,              0.0049263,              0.0049263
                     44,                 1.6571,                 1.1247,                 1.2406,                0.73224,                 0.6013,                0.68105,                0.35502,                 1.7032,                  1.205,                 1.2471,              0.0048025,              0.0048025,              0.0048025
                     45,                 1.6699,                 1.1488,                 1.2549,                0.71784,                 0.6161,                0.67327,                0.33573,                 1.7584,                 1.3789,                  1.272,              0.0046788,              0.0046788,              0.0046788
                     46,                 1.6692,                  1.129,                 1.2502,                0.73812,                 0.6013,                0.66678,                0.33391,                 1.7838,                 1.2672,                 1.2715,               0.004555,               0.004555,               0.004555
                     47,                 1.6573,                 1.1102,                 1.2332,                0.71418,                0.67263,                0.71409,                  0.325,                  1.925,                 1.2695,                 1.3304,              0.0044313,              0.0044313,              0.0044313
                     48,                 1.6555,                 1.1302,                 1.2483,                0.72288,                 0.6443,                0.70615,                0.35474,                 1.7434,                 1.1632,                 1.2495,              0.0043075,              0.0043075,              0.0043075
                     49,                 1.6703,                 1.1254,                 1.2492,                0.72639,                0.63275,                0.70069,                0.35797,                 1.7496,                 1.2168,                 1.2668,              0.0041837,              0.0041837,              0.0041837
                     50,                 1.6436,                 1.1038,                  1.236,                0.74164,                0.65217,                0.71046,                0.35891,                  1.764,                 1.1571,                 1.2678,                0.00406,                0.00406,                0.00406
                     51,                 1.6587,                 1.1166,                 1.2309,                0.75153,                0.65032,                0.71681,                0.37717,                  1.681,                 1.1301,                 1.2252,              0.0039362,              0.0039362,              0.0039362
                     52,                  1.651,                 1.0967,                 1.2393,                0.75387,                0.63468,                0.71448,                 0.3595,                 1.7711,                 1.1208,                 1.2631,              0.0038125,              0.0038125,              0.0038125
                     53,                 1.6315,                 1.0825,                 1.2252,                0.73398,                0.64292,                0.69747,                0.34508,                  1.778,                 1.1752,                 1.2669,              0.0036888,              0.0036888,              0.0036888
                     54,                 1.6452,                 1.1004,                 1.2304,                 0.6828,                0.65032,                0.70707,                0.37531,                 1.6858,                 1.1006,                 1.2478,               0.003565,               0.003565,               0.003565
                     55,                 1.6335,                   1.08,                 1.2216,                0.75745,                0.65577,                0.71379,                0.34467,                 1.8447,                 1.1257,                  1.295,              0.0034413,              0.0034413,              0.0034413
                     56,                 1.6173,                 1.0683,                 1.2233,                0.75841,                0.62728,                0.70778,                0.34762,                 1.7939,                 1.1608,                 1.2747,              0.0033175,              0.0033175,              0.0033175
                     57,                 1.6456,                 1.0861,                 1.2383,                0.76057,                 0.6679,                0.73143,                0.36778,                 1.7468,                 1.1227,                 1.2736,              0.0031938,              0.0031938,              0.0031938
                     58,                 1.6225,                 1.0791,                  1.229,                0.73507,                0.66478,                0.71994,                0.39179,                 1.6156,                 1.0918,                 1.2079,                0.00307,                0.00307,                0.00307
                     59,                 1.6082,                 1.0455,                  1.225,                 0.7237,                  0.642,                0.71355,                0.36409,                 1.7354,                 1.1593,                 1.2483,              0.0029462,              0.0029462,              0.0029462
