                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.4322,                0.85851,                 1.1117,                 0.7622,                0.65865,                0.72003,                0.42908,                 1.4354,                 1.0579,                 1.1343,             0.00063554,             0.00063554,             0.00063554
                     78,                 1.4215,                0.85211,                  1.103,                0.72833,                0.68448,                0.72245,                 0.4275,                 1.4593,                 1.0535,                 1.1349,             0.00062179,             0.00062179,             0.00062179
                     79,                  1.423,                0.85641,                 1.1119,                0.75195,                0.67865,                0.73117,                0.45044,                 1.3666,                0.97917,                 1.1208,             0.00060804,             0.00060804,             0.00060804
                     80,                 1.4209,                0.84785,                 1.1043,                0.76505,                 0.6716,                0.73196,                0.44306,                 1.4256,                  1.013,                 1.1274,             0.00059429,             0.00059429,             0.00059429
                     81,                 1.4177,                0.84546,                  1.104,                0.76506,                0.65369,                0.71263,                0.42741,                 1.4401,                 1.0729,                 1.1343,             0.00058053,             0.00058053,             0.00058053
                     82,                 1.4008,                0.83425,                 1.0963,                0.77072,                0.65614,                0.72635,                0.43262,                 1.4546,                 1.0353,                 1.1398,             0.00056678,             0.00056678,             0.00056678
                     83,                 1.4061,                0.84032,                 1.0975,                0.77524,                0.66975,                0.73568,                0.44591,                 1.4241,                 0.9879,                  1.132,             0.00055303,             0.00055303,             0.00055303
                     84,                 1.3977,                0.83524,                  1.094,                0.75554,                0.67068,                0.71818,                0.42995,                 1.4337,                 1.0546,                 1.1355,             0.00053927,             0.00053927,             0.00053927
                     85,                 1.3968,                0.82551,                 1.0933,                0.78414,                0.66873,                0.72649,                0.44169,                 1.3961,                 1.0086,                 1.1246,             0.00052552,             0.00052552,             0.00052552
                     86,                 1.3928,                0.81953,                 1.0925,                0.73614,                 0.6753,                0.72099,                0.44283,                 1.3938,                 1.0045,                 1.1331,             0.00051177,             0.00051177,             0.00051177
                     87,                 1.3807,                0.81412,                 1.0891,                0.75809,                0.65957,                0.72408,                0.43253,                 1.4274,                 1.0384,                 1.1305,             0.00049802,             0.00049802,             0.00049802
                     88,                 1.3809,                 0.8106,                 1.0868,                0.75748,                  0.679,                0.72005,                0.42195,                 1.4923,                 1.0387,                 1.1553,             0.00048426,             0.00048426,             0.00048426
                     89,                 1.3928,                 0.8196,                 1.0841,                0.78565,                0.63275,                0.71825,                0.43528,                 1.4288,                   1.04,                 1.1364,             0.00047051,             0.00047051,             0.00047051
                     90,                 1.3545,                0.78566,                 1.0749,                0.73244,                 0.7049,                0.73714,                0.45124,                 1.4042,                 0.9856,                 1.1375,             0.00045676,             0.00045676,             0.00045676
                     91,                 1.3688,                0.80346,                 1.0839,                0.74365,                0.68455,                0.73282,                0.43706,                 1.4384,                 1.0049,                 1.1405,             0.00044301,             0.00044301,             0.00044301
                     92,                 1.3641,                0.79899,                 1.0791,                0.76893,                0.67108,                0.73223,                0.43087,                 1.4539,                 1.0129,                   1.14,             0.00042925,             0.00042925,             0.00042925
                     93,                  1.376,                0.79747,                   1.08,                0.77856,                0.65699,                0.72527,                0.44803,                 1.3956,                 1.0298,                 1.1198,              0.0004155,              0.0004155,              0.0004155
                     94,                 1.3634,                0.79645,                 1.0783,                0.80188,                0.65125,                0.73177,                0.44701,                 1.4111,                0.99516,                 1.1249,             0.00040175,             0.00040175,             0.00040175
                     95,                 1.3527,                0.78823,                 1.0741,                0.77817,                0.66235,                0.72898,                0.43875,                 1.4224,                 1.0305,                 1.1234,             0.00038799,             0.00038799,             0.00038799
                     96,                 1.3449,                0.77639,                 1.0736,                0.74946,                0.66413,                 0.7191,                0.43404,                 1.4292,                 1.0236,                 1.1325,             0.00037424,             0.00037424,             0.00037424
                     97,                 1.3554,                0.77081,                 1.0771,                0.79372,                0.63275,                0.72032,                0.43867,                 1.4234,                 1.0286,                 1.1251,             0.00036049,             0.00036049,             0.00036049
                     98,                  1.359,                0.77614,                 1.0742,                0.73694,                 0.6938,                 0.7248,                0.43714,                  1.443,                 1.0137,                 1.1364,             0.00034674,             0.00034674,             0.00034674
                     99,                  1.348,                0.78341,                 1.0799,                0.75457,                0.67623,                0.72634,                 0.4414,                 1.4195,                 1.0253,                  1.125,             0.00033298,             0.00033298,             0.00033298
                    100,                 1.3425,                0.77286,                 1.0704,                0.75747,                 0.6934,                0.73656,                0.44654,                 1.4138,                 1.0047,                 1.1243,             0.00031923,             0.00031923,             0.00031923
                    101,                 1.3559,                0.78202,                  1.077,                0.75641,                0.68733,                0.73073,                 0.4371,                 1.4507,                 1.0082,                 1.1417,             0.00030548,             0.00030548,             0.00030548
                    102,                 1.3325,                0.76469,                 1.0668,                0.79826,                0.65125,                0.73087,                0.44911,                 1.3983,                 1.0113,                 1.1196,             0.00029172,             0.00029172,             0.00029172
                    103,                 1.3436,                0.77542,                 1.0666,                0.75362,                0.65929,                0.71966,                0.43715,                 1.4115,                 1.0165,                 1.1269,             0.00027797,             0.00027797,             0.00027797
                    104,                 1.3234,                0.75625,                 1.0591,                0.79931,                0.65582,                  0.736,                0.44696,                 1.4075,                 1.0063,                 1.1292,             0.00026422,             0.00026422,             0.00026422
                    105,                 1.3257,                0.75826,                 1.0651,                0.77497,                0.63922,                0.71651,                0.43416,                 1.4188,                  1.028,                 1.1352,             0.00025047,             0.00025047,             0.00025047
                    106,                 1.3084,                0.74723,                 1.0618,                 0.7772,                0.63737,                0.71592,                0.43603,                 1.4286,                 1.0397,                 1.1321,             0.00023671,             0.00023671,             0.00023671
                    107,                 1.3171,                0.75231,                 1.0631,                 0.7587,                0.65032,                0.72435,                0.44227,                 1.4166,                 1.0305,                 1.1311,             0.00022296,             0.00022296,             0.00022296
                    108,                  1.329,                 0.7582,                 1.0693,                0.75561,                 0.6679,                 0.7205,                0.43396,                 1.4429,                 1.0212,                 1.1453,             0.00020921,             0.00020921,             0.00020921
                    109,                 1.3162,                0.74764,                 1.0563,                 0.7533,                0.66327,                0.71926,                0.42943,                 1.4497,                 1.0459,                 1.1371,             0.00019546,             0.00019546,             0.00019546
                    110,                 1.3177,                0.75016,                 1.0596,                0.76521,                0.64477,                0.71452,                0.43443,                 1.4225,                 1.0433,                 1.1365,              0.0001817,              0.0001817,              0.0001817
                    111,                 1.3404,                0.71583,                 1.0803,                0.78793,                0.64847,                0.71948,                0.43063,                  1.432,                   1.02,                 1.1397,             0.00016795,             0.00016795,             0.00016795
                    112,                 1.3076,                0.69674,                 1.0674,                0.79645,                0.62905,                   0.71,                0.42419,                 1.4304,                 1.0565,                 1.1415,              0.0001542,              0.0001542,              0.0001542
                    113,                 1.2999,                0.67555,                 1.0651,                0.77389,                 0.6459,                0.71421,                0.42706,                 1.4266,                 1.0379,                 1.1395,             0.00014044,             0.00014044,             0.00014044
                    114,                 1.2933,                0.68146,                   1.06,                0.80626,                0.63521,                0.72076,                 0.4271,                  1.425,                  1.045,                 1.1347,             0.00012669,             0.00012669,             0.00012669
                    115,                 1.2851,                0.67293,                  1.061,                0.79046,                0.64292,                0.71508,                0.42738,                 1.4277,                 1.0431,                 1.1407,             0.00011294,             0.00011294,             0.00011294
                    116,                  1.303,                0.67644,                 1.0671,                0.79432,                 0.6383,                0.71828,                0.43335,                 1.4234,                 1.0253,                  1.136,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    117,                 1.2767,                0.67588,                 1.0624,                0.78865,                0.64107,                0.71801,                 0.4306,                 1.4227,                 1.0495,                  1.138,             8.5434e-05,             8.5434e-05,             8.5434e-05
                    118,                 1.2851,                0.66583,                 1.0602,                0.76692,                 0.6457,                0.71649,                0.43248,                 1.4241,                 1.0366,                 1.1428,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    119,                 1.2914,                0.67255,                 1.0654,                 0.7761,                0.63275,                0.70934,                0.43077,                 1.4238,                 1.0528,                 1.1465,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    120,                 1.2729,                0.66811,                 1.0602,                0.75502,                0.66327,                0.71374,                0.42813,                 1.4281,                 1.0501,                 1.1462,             4.4176e-05,             4.4176e-05,             4.4176e-05
