                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.878,                 2.4283,                  1.355,                0.44045,                  0.395,                 0.3484,                0.14549,                 1.9546,                  2.155,                 1.3204,             0.00055167,             0.00055167,             0.00055167
                      2,                 1.8066,                 1.7156,                 1.3023,                0.49113,                0.53191,                0.46482,                0.22123,                 1.7071,                  2.007,                 1.2115,              0.0010982,              0.0010982,              0.0010982
                      3,                 1.8107,                 1.5677,                 1.3021,                 0.5958,                0.55042,                0.54529,                0.26593,                 1.7933,                 1.7177,                 1.2842,              0.0016356,              0.0016356,              0.0016356
                      4,                 1.8007,                 1.5174,                 1.3025,                0.63474,                0.53562,                0.58729,                0.27162,                 1.8803,                 1.7626,                 1.3225,              0.0016257,              0.0016257,              0.0016257
                      5,                 1.7783,                  1.448,                 1.2897,                0.63858,                0.55689,                0.58206,                0.28517,                 1.7336,                 1.5198,                 1.2621,              0.0016257,              0.0016257,              0.0016257
                      6,                 1.7567,                 1.3866,                 1.2771,                0.68381,                 0.6087,                0.65187,                0.31385,                 1.7757,                  1.315,                 1.2842,               0.001612,               0.001612,               0.001612
                      7,                 1.7542,                 1.3557,                 1.2714,                0.65443,                0.59914,                0.63252,                0.33034,                 1.6423,                 1.4759,                 1.2051,              0.0015982,              0.0015982,              0.0015982
                      8,                 1.7258,                 1.3252,                 1.2637,                0.67621,                 0.6198,                 0.6546,                0.33643,                 1.7187,                 1.3838,                 1.2371,              0.0015845,              0.0015845,              0.0015845
                      9,                 1.7188,                 1.3178,                 1.2645,                0.70686,                0.58444,                0.64189,                0.34719,                 1.5837,                 1.3316,                  1.183,              0.0015707,              0.0015707,              0.0015707
                     10,                 1.7117,                 1.3018,                  1.255,                0.64433,                0.64292,                 0.6635,                0.37449,                 1.5327,                 1.4398,                 1.1712,               0.001557,               0.001557,               0.001557
                     11,                 1.7066,                 1.2919,                 1.2538,                0.68046,                0.61069,                0.65873,                0.32824,                 1.7385,                 1.2882,                 1.2676,              0.0015432,              0.0015432,              0.0015432
                     12,                 1.6879,                 1.2686,                 1.2427,                0.70411,                0.64939,                 0.6992,                0.35444,                 1.7251,                 1.2357,                 1.2381,              0.0015295,              0.0015295,              0.0015295
                     13,                 1.6852,                 1.2482,                 1.2397,                 0.7031,                0.60684,                0.65809,                0.32953,                 1.7381,                 1.2791,                 1.2317,              0.0015157,              0.0015157,              0.0015157
                     14,                 1.6873,                 1.2443,                 1.2347,                0.63648,                0.64755,                 0.6386,                0.37256,                 1.5262,                 1.2168,                 1.1884,               0.001502,               0.001502,               0.001502
                     15,                  1.666,                 1.2124,                 1.2267,                0.67738,                0.64095,                0.66259,                0.37565,                 1.5519,                 1.6103,                 1.1742,              0.0014882,              0.0014882,              0.0014882
                     16,                 1.6495,                 1.2161,                 1.2208,                0.69887,                0.61702,                0.68314,                0.39105,                 1.5345,                 1.1789,                 1.1635,              0.0014745,              0.0014745,              0.0014745
                     17,                 1.6607,                 1.2158,                  1.227,                0.67414,                0.61425,                0.63538,                0.34222,                 1.6325,                 1.6573,                 1.2044,              0.0014607,              0.0014607,              0.0014607
                     18,                 1.6542,                 1.2109,                 1.2278,                0.74021,                0.60887,                0.67118,                0.37422,                  1.565,                 1.2844,                 1.1818,               0.001447,               0.001447,               0.001447
                     19,                 1.6538,                  1.195,                 1.2194,                0.75462,                0.62018,                0.69994,                0.39802,                 1.4934,                 1.1698,                 1.1405,              0.0014332,              0.0014332,              0.0014332
                     20,                 1.6396,                 1.1599,                 1.2224,                0.70614,                 0.6568,                0.70413,                  0.385,                 1.5971,                 1.4679,                 1.1974,              0.0014195,              0.0014195,              0.0014195
                     21,                 1.6436,                 1.1694,                 1.2143,                0.67911,                0.57909,                0.63812,                 0.3658,                 1.4826,                 1.3254,                 1.1335,              0.0014057,              0.0014057,              0.0014057
                     22,                   1.64,                 1.1568,                 1.2093,                0.70261,                0.68733,                0.71293,                0.40052,                 1.5344,                  1.164,                 1.1688,              0.0013919,              0.0013919,              0.0013919
                     23,                 1.6218,                  1.139,                 1.2095,                0.76686,                0.64292,                0.72426,                0.39838,                 1.5635,                 1.1676,                 1.1597,              0.0013782,              0.0013782,              0.0013782
                     24,                 1.6229,                 1.1385,                 1.1952,                 0.7057,                0.63275,                0.68767,                0.34685,                  1.695,                 1.2006,                 1.2197,              0.0013644,              0.0013644,              0.0013644
                     25,                 1.6259,                  1.146,                 1.2027,                0.69942,                0.65032,                0.69882,                0.39294,                 1.5598,                 1.1263,                 1.1675,              0.0013507,              0.0013507,              0.0013507
                     26,                 1.6074,                 1.1106,                  1.198,                0.75384,                0.59482,                0.68061,                0.40417,                 1.4526,                 1.2129,                 1.1244,              0.0013369,              0.0013369,              0.0013369
                     27,                 1.6013,                 1.1297,                 1.1946,                0.71442,                0.63737,                0.68675,                0.38562,                  1.495,                 1.1839,                 1.1457,              0.0013232,              0.0013232,              0.0013232
                     28,                 1.6031,                 1.1145,                 1.1932,                0.73436,                0.66234,                0.72155,                0.43562,                 1.3931,                 1.0778,                 1.1082,              0.0013094,              0.0013094,              0.0013094
                     29,                 1.5949,                 1.1046,                 1.1925,                0.73122,                0.66512,                0.71898,                0.40612,                 1.5234,                 1.1179,                 1.1478,              0.0012957,              0.0012957,              0.0012957
                     30,                 1.5805,                 1.0812,                 1.1841,                 0.7052,                0.66142,                0.71523,                0.42117,                  1.473,                 1.1013,                 1.1276,              0.0012819,              0.0012819,              0.0012819
                     31,                 1.5844,                 1.1046,                 1.1751,                0.74319,                0.65772,                0.71222,                0.41228,                 1.4661,                 1.0922,                 1.1363,              0.0012682,              0.0012682,              0.0012682
                     32,                  1.583,                 1.0775,                 1.1762,                0.73392,                0.69402,                0.73097,                0.42197,                 1.4725,                 1.0832,                 1.1352,              0.0012544,              0.0012544,              0.0012544
                     33,                 1.5755,                 1.0802,                 1.1832,                0.74906,                0.67099,                0.72818,                0.42385,                 1.4533,                 1.0793,                  1.124,              0.0012407,              0.0012407,              0.0012407
                     34,                 1.5712,                 1.0754,                 1.1799,                 0.7301,                0.64385,                0.70542,                0.42526,                 1.4341,                 1.1121,                 1.1232,              0.0012269,              0.0012269,              0.0012269
                     35,                 1.5859,                 1.0742,                 1.1862,                0.73621,                0.65865,                0.71675,                0.42033,                 1.4862,                 1.0799,                 1.1477,              0.0012132,              0.0012132,              0.0012132
                     36,                 1.5621,                 1.0633,                 1.1837,                0.73477,                0.66118,                0.70837,                0.40287,                 1.5188,                 1.1324,                 1.1497,              0.0011994,              0.0011994,              0.0011994
                     37,                 1.5809,                 1.0617,                 1.1803,                0.75835,                0.62627,                0.70189,                0.39849,                 1.5119,                 1.1397,                  1.145,              0.0011857,              0.0011857,              0.0011857
                     38,                  1.562,                 1.0422,                 1.1781,                 0.7599,                 0.6198,                0.70342,                0.41972,                 1.4339,                  1.124,                 1.1179,              0.0011719,              0.0011719,              0.0011719
                     39,                 1.5715,                 1.0466,                  1.178,                0.74134,                0.66327,                 0.7165,                0.41712,                 1.4705,                  1.104,                 1.1383,              0.0011581,              0.0011581,              0.0011581
                     40,                 1.5592,                  1.051,                 1.1785,                0.77812,                0.65857,                 0.7201,                0.42967,                 1.4541,                 1.0717,                 1.1417,              0.0011444,              0.0011444,              0.0011444
                     41,                 1.5586,                 1.0247,                 1.1695,                0.73209,                0.68253,                0.72586,                0.44193,                 1.4043,                 1.1025,                 1.1101,              0.0011306,              0.0011306,              0.0011306
                     42,                 1.5462,                  1.009,                 1.1664,                0.74901,                0.64322,                0.70728,                 0.4041,                 1.5295,                 1.1215,                 1.1619,              0.0011169,              0.0011169,              0.0011169
                     43,                 1.5562,                 1.0349,                 1.1744,                0.74198,                 0.6605,                0.70736,                0.40849,                  1.518,                 1.1072,                  1.156,              0.0011031,              0.0011031,              0.0011031
                     44,                 1.5196,                 1.0047,                 1.1467,                0.72544,                0.67438,                0.71759,                0.42638,                 1.4672,                  1.145,                 1.1535,              0.0010894,              0.0010894,              0.0010894
                     45,                 1.5427,                 1.0167,                 1.1602,                 0.7409,                0.65495,                 0.7038,                0.41175,                 1.4857,                 1.1216,                 1.1543,              0.0010756,              0.0010756,              0.0010756
                     46,                 1.5402,                0.99843,                 1.1555,                0.76945,                 0.6457,                0.70725,                0.42732,                 1.4262,                 1.1131,                 1.1157,              0.0010619,              0.0010619,              0.0010619
                     47,                 1.5338,                 0.9903,                 1.1483,                0.74024,                0.67993,                0.73431,                0.43142,                 1.4653,                 1.0441,                 1.1388,              0.0010481,              0.0010481,              0.0010481
                     48,                 1.5212,                0.98918,                 1.1548,                0.72171,                0.69812,                0.73299,                 0.4372,                 1.4315,                 1.0749,                 1.1324,              0.0010344,              0.0010344,              0.0010344
                     49,                 1.5369,                 1.0025,                 1.1572,                0.74237,                0.62908,                 0.7001,                0.40541,                 1.5025,                 1.1543,                  1.159,              0.0010206,              0.0010206,              0.0010206
                     50,                 1.5097,                  0.977,                 1.1432,                0.73236,                0.67588,                0.71692,                0.44414,                 1.3848,                 1.0414,                 1.1087,              0.0010069,              0.0010069,              0.0010069
                     51,                 1.5164,                0.99295,                 1.1383,                0.75971,                0.65217,                0.72351,                0.44431,                 1.3809,                 1.0358,                 1.1088,             0.00099312,             0.00099312,             0.00099312
                     52,                 1.5144,                0.96975,                 1.1516,                 0.7353,                0.67253,                0.70818,                0.42083,                 1.4915,                 1.0645,                  1.155,             0.00097936,             0.00097936,             0.00097936
                     53,                 1.4964,                0.95135,                 1.1344,                0.74399,                0.65864,                0.72478,                0.43198,                 1.4377,                 1.0555,                  1.128,             0.00096561,             0.00096561,             0.00096561
                     54,                 1.5128,                0.97282,                 1.1456,                0.73721,                0.64877,                0.71692,                0.39841,                 1.5595,                 1.0973,                 1.1631,             0.00095186,             0.00095186,             0.00095186
                     55,                 1.4964,                 0.9465,                 1.1328,                0.74745,                0.67993,                0.73274,                0.43666,                 1.4387,                 1.0295,                 1.1267,              0.0009381,              0.0009381,              0.0009381
                     56,                 1.4909,                0.94227,                 1.1367,                0.73004,                0.65294,                0.70257,                0.42075,                 1.4455,                 1.1389,                 1.1366,             0.00092435,             0.00092435,             0.00092435
                     57,                 1.5146,                0.96429,                   1.15,                0.74042,                0.66975,                0.70963,                0.42332,                 1.4016,                 1.1099,                 1.1041,              0.0009106,              0.0009106,              0.0009106
                     58,                 1.4731,                0.94532,                 1.1335,                0.78965,                0.65032,                0.73822,                0.43627,                 1.4451,                  1.034,                 1.1338,             0.00089685,             0.00089685,             0.00089685
                     59,                 1.4792,                0.93562,                 1.1389,                0.78904,                0.65217,                0.72682,                0.43908,                 1.4169,                 1.0428,                 1.1207,             0.00088309,             0.00088309,             0.00088309
                     60,                 1.4917,                0.92892,                 1.1353,                 0.7588,                0.67623,                0.72206,                0.42275,                 1.4962,                 1.0426,                 1.1601,             0.00086934,             0.00086934,             0.00086934
                     61,                 1.4853,                0.92748,                 1.1346,                0.72915,                0.65994,                0.71407,                0.43131,                 1.4235,                 1.0841,                 1.1175,             0.00085559,             0.00085559,             0.00085559
                     62,                 1.4768,                0.93785,                 1.1282,                0.78928,                0.64449,                 0.7307,                0.44429,                 1.3768,                 1.0543,                 1.1075,             0.00084184,             0.00084184,             0.00084184
                     63,                 1.4727,                0.92659,                 1.1314,                 0.7796,                0.65441,                0.72926,                0.44261,                 1.4164,                 1.0468,                 1.1199,             0.00082808,             0.00082808,             0.00082808
                     64,                 1.4816,                0.91611,                 1.1275,                 0.7573,                0.64107,                0.71261,                0.43325,                 1.3969,                 1.0957,                 1.1209,             0.00081433,             0.00081433,             0.00081433
                     65,                 1.4662,                 0.9148,                 1.1225,                0.72965,                0.63915,                0.69231,                0.41644,                 1.4371,                   1.17,                 1.1311,             0.00080058,             0.00080058,             0.00080058
                     66,                 1.4684,                 0.8937,                 1.1194,                0.76472,                 0.6531,                0.70735,                 0.4221,                  1.447,                 1.0761,                 1.1372,             0.00078682,             0.00078682,             0.00078682
                     67,                 1.4643,                0.90579,                 1.1226,                 0.7682,                0.67345,                0.74435,                0.44583,                 1.4101,                 1.0306,                 1.1155,             0.00077307,             0.00077307,             0.00077307
                     68,                 1.4612,                0.89789,                 1.1213,                0.78939,                0.64015,                0.72004,                0.44237,                 1.4066,                 1.0585,                 1.1212,             0.00075932,             0.00075932,             0.00075932
                     69,                 1.4475,                0.89446,                 1.1177,                0.76227,                0.66442,                0.73075,                0.45055,                 1.4014,                 1.0541,                  1.122,             0.00074557,             0.00074557,             0.00074557
                     70,                 1.4263,                0.86826,                 1.1093,                 0.7978,                 0.6309,                0.72347,                0.43456,                 1.4327,                 1.0492,                 1.1288,             0.00073181,             0.00073181,             0.00073181
                     71,                 1.4625,                0.87988,                 1.1225,                0.75458,                0.65987,                 0.7236,                0.43781,                 1.4032,                 1.0417,                 1.1152,             0.00071806,             0.00071806,             0.00071806
                     72,                 1.4414,                0.86832,                 1.1126,                0.76178,                0.66883,                 0.7198,                0.45207,                 1.3471,                 1.0122,                 1.0998,             0.00070431,             0.00070431,             0.00070431
                     73,                  1.441,                0.88967,                 1.1173,                0.77765,                0.64292,                 0.7317,                0.44925,                  1.396,                 1.0147,                 1.1072,             0.00069055,             0.00069055,             0.00069055
                     74,                 1.4396,                0.87244,                 1.1072,                0.77413,                0.66579,                0.73072,                0.43968,                 1.4198,                 1.0318,                 1.1212,              0.0006768,              0.0006768,              0.0006768
                     75,                 1.4181,                0.85287,                 1.1014,                0.75084,                0.64477,                0.70858,                0.43566,                  1.405,                 1.0591,                 1.1114,             0.00066305,             0.00066305,             0.00066305
                     76,                  1.423,                0.85057,                 1.1021,                0.74965,                0.67312,                0.73212,                0.44044,                 1.4026,                 1.0309,                 1.1047,              0.0006493,              0.0006493,              0.0006493
