                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.878,                 2.4283,                  1.355,                0.44045,                  0.395,                 0.3484,                0.14549,                 1.9546,                  2.155,                 1.3204,             0.00055167,             0.00055167,             0.00055167
                      2,                 1.8053,                  1.709,                 1.2923,                0.55908,                0.55504,                0.53982,                0.28374,                 1.6138,                 1.6483,                 1.1691,              0.0010891,              0.0010891,              0.0010891
                      3,                 1.8093,                 1.5659,                 1.2848,                0.66279,                0.51526,                0.56532,                0.27126,                 1.7741,                 2.0111,                  1.266,              0.0016081,              0.0016081,              0.0016081
                      4,                 1.7984,                 1.5047,                 1.2865,                0.65979,                0.55078,                0.61598,                0.29609,                 1.8376,                 1.4295,                 1.2974,              0.0015845,              0.0015845,              0.0015845
                      5,                 1.7727,                  1.442,                 1.2809,                0.62298,                0.52729,                0.55257,                0.25312,                 1.8586,                 1.5354,                 1.2813,              0.0015845,              0.0015845,              0.0015845
                      6,                  1.754,                   1.38,                 1.2668,                0.64051,                 0.6082,                0.61972,                0.27268,                 1.8639,                  1.741,                 1.2933,               0.001557,               0.001557,               0.001557
                      7,                 1.7527,                 1.3528,                 1.2652,                0.68017,                0.58649,                0.62149,                0.32519,                 1.6032,                 1.4098,                 1.1833,              0.0015295,              0.0015295,              0.0015295
                      8,                 1.7169,                 1.3239,                  1.255,                0.70085,                0.58927,                0.65585,                0.34708,                 1.6584,                  1.271,                 1.2029,               0.001502,               0.001502,               0.001502
                      9,                 1.7262,                 1.3145,                 1.2568,                0.66853,                0.60222,                0.64739,                0.32432,                 1.7154,                 1.3353,                  1.208,              0.0014745,              0.0014745,              0.0014745
                     10,                 1.7171,                 1.2983,                 1.2452,                0.68947,                0.62812,                0.66021,                 0.3669,                 1.5355,                 1.3453,                 1.1757,               0.001447,               0.001447,               0.001447
                     11,                 1.7018,                 1.2798,                 1.2486,                0.68695,                0.58665,                0.64731,                0.31415,                 1.7673,                 1.2888,                 1.2537,              0.0014195,              0.0014195,              0.0014195
                     12,                 1.6718,                 1.2413,                   1.23,                0.75342,                0.59944,                0.68324,                0.34246,                 1.7462,                 1.2121,                 1.2462,              0.0013919,              0.0013919,              0.0013919
                     13,                 1.6749,                 1.2236,                 1.2306,                0.69918,                0.64292,                0.68524,                0.34232,                 1.7682,                 1.2218,                 1.2377,              0.0013644,              0.0013644,              0.0013644
                     14,                  1.685,                 1.2241,                 1.2251,                0.69903,                0.64243,                0.69494,                0.40419,                 1.5113,                 1.1361,                 1.1626,              0.0013369,              0.0013369,              0.0013369
                     15,                 1.6545,                 1.1934,                 1.2169,                0.71574,                 0.6716,                0.69813,                0.37092,                 1.6547,                 1.2246,                 1.1977,              0.0013094,              0.0013094,              0.0013094
                     16,                 1.6454,                 1.1934,                 1.2103,                0.70246,                0.61055,                0.67747,                0.38235,                 1.5347,                 1.1513,                 1.1623,              0.0012819,              0.0012819,              0.0012819
                     17,                 1.6537,                 1.1887,                 1.2165,                0.71913,                0.60407,                0.67154,                0.36996,                 1.5603,                 1.2599,                 1.1803,              0.0012544,              0.0012544,              0.0012544
                     18,                 1.6463,                 1.1816,                 1.2148,                0.66144,                0.53932,                0.58363,                0.32338,                 1.5453,                 1.4223,                 1.1589,              0.0012269,              0.0012269,              0.0012269
                     19,                  1.632,                 1.1731,                 1.2043,                  0.726,                0.64708,                0.70489,                0.40421,                  1.523,                 1.1371,                 1.1481,              0.0011994,              0.0011994,              0.0011994
                     20,                 1.6279,                 1.1352,                 1.2115,                0.72393,                0.62812,                0.69617,                 0.3809,                 1.6058,                 1.2247,                 1.1833,              0.0011719,              0.0011719,              0.0011719
                     21,                 1.6315,                 1.1542,                 1.2084,                0.72022,                0.66142,                0.70937,                0.40632,                 1.4859,                 1.1102,                  1.128,              0.0011444,              0.0011444,              0.0011444
                     22,                 1.6166,                  1.134,                  1.193,                0.72874,                0.63737,                0.69566,                0.41233,                 1.4242,                 1.1313,                 1.1181,              0.0011169,              0.0011169,              0.0011169
                     23,                 1.6092,                 1.1157,                 1.1983,                0.73851,                0.64477,                0.71122,                0.40402,                 1.5143,                 1.1526,                 1.1387,              0.0010894,              0.0010894,              0.0010894
                     24,                 1.6035,                 1.1031,                 1.1865,                0.76194,                0.65731,                 0.7209,                0.38528,                 1.5951,                 1.1031,                 1.1749,              0.0010619,              0.0010619,              0.0010619
                     25,                 1.6039,                  1.121,                  1.189,                0.72895,                0.64755,                0.71624,                0.41332,                 1.4779,                 1.1215,                  1.131,              0.0010344,              0.0010344,              0.0010344
                     26,                 1.5923,                  1.089,                 1.1888,                0.74038,                0.65688,                0.71122,                0.41565,                 1.4577,                 1.1053,                 1.1272,              0.0010069,              0.0010069,              0.0010069
                     27,                 1.5909,                  1.101,                 1.1869,                0.74824,                0.62812,                0.69749,                0.36788,                 1.6447,                 1.1703,                 1.1938,             0.00097936,             0.00097936,             0.00097936
                     28,                 1.5813,                 1.0812,                 1.1798,                 0.7552,                0.65066,                0.73398,                0.43033,                 1.4563,                 1.0621,                 1.1162,             0.00095186,             0.00095186,             0.00095186
                     29,                 1.5768,                 1.0665,                 1.1803,                0.73176,                0.68137,                0.73511,                 0.4295,                 1.4401,                 1.0975,                 1.1126,             0.00092435,             0.00092435,             0.00092435
                     30,                 1.5571,                 1.0483,                 1.1703,                0.76661,                 0.6494,                0.73138,                0.43037,                 1.4486,                 1.0857,                 1.1101,             0.00089685,             0.00089685,             0.00089685
                     31,                 1.5597,                 1.0668,                 1.1624,                0.74624,                0.66104,                 0.7301,                0.40101,                 1.5749,                 1.0779,                 1.1698,             0.00086934,             0.00086934,             0.00086934
                     32,                 1.5669,                 1.0453,                 1.1684,                0.75491,                0.66673,                0.71817,                0.41518,                 1.5028,                  1.057,                 1.1369,             0.00084184,             0.00084184,             0.00084184
                     33,                 1.5534,                 1.0411,                 1.1675,                0.73011,                0.66883,                0.71976,                0.43032,                 1.4355,                 1.0844,                 1.1155,             0.00081433,             0.00081433,             0.00081433
                     34,                 1.5444,                 1.0239,                 1.1628,                 0.7409,                 0.6753,                0.73403,                   0.44,                 1.4276,                 1.0375,                  1.113,             0.00078682,             0.00078682,             0.00078682
                     35,                 1.5712,                 1.0323,                 1.1702,                0.79525,                0.66831,                0.74844,                0.44125,                 1.4605,                 1.0216,                 1.1244,             0.00075932,             0.00075932,             0.00075932
                     36,                 1.5232,                 1.0057,                 1.1587,                0.77048,                0.65125,                 0.7379,                0.41476,                 1.5556,                  1.062,                 1.1465,             0.00073181,             0.00073181,             0.00073181
                     37,                 1.5508,                 1.0113,                 1.1594,                0.76965,                 0.6568,                0.72167,                0.42515,                 1.4729,                 1.0591,                 1.1269,             0.00070431,             0.00070431,             0.00070431
                     38,                 1.5342,                0.98198,                 1.1578,                0.75028,                0.67816,                0.73396,                0.43157,                 1.4377,                 1.0319,                 1.1111,              0.0006768,              0.0006768,              0.0006768
                     39,                 1.5301,                0.99533,                  1.153,                0.76811,                 0.6568,                0.73207,                0.43637,                 1.4361,                 1.0541,                 1.1129,              0.0006493,              0.0006493,              0.0006493
                     40,                 1.5171,                0.98459,                 1.1534,                0.77925,                0.67922,                0.74056,                0.45256,                 1.3725,                 1.0148,                  1.093,             0.00062179,             0.00062179,             0.00062179
                     41,                  1.515,                0.96475,                 1.1446,                0.76872,                0.67951,                0.73938,                0.45613,                 1.3564,                 1.0178,                 1.0933,             0.00059429,             0.00059429,             0.00059429
                     42,                 1.5054,                0.95618,                 1.1417,                0.74532,                0.68918,                0.72938,                0.44076,                 1.4295,                  1.039,                 1.1193,             0.00056678,             0.00056678,             0.00056678
                     43,                 1.5166,                 0.9625,                 1.1494,                0.76591,                0.67438,                0.73406,                0.42453,                 1.5018,                 1.0355,                 1.1393,             0.00053927,             0.00053927,             0.00053927
                     44,                  1.482,                0.93885,                 1.1251,                0.76564,                0.69207,                0.74074,                 0.4495,                 1.3906,                 1.0411,                 1.1114,             0.00051177,             0.00051177,             0.00051177
                     45,                 1.5048,                0.94882,                 1.1369,                0.77473,                0.65218,                0.72287,                0.43306,                 1.4298,                 1.0736,                 1.1181,             0.00048426,             0.00048426,             0.00048426
                     46,                 1.4957,                0.93277,                 1.1298,                 0.7747,                0.67345,                0.73414,                0.44362,                 1.4191,                  1.024,                 1.1161,             0.00045676,             0.00045676,             0.00045676
                     47,                 1.4906,                0.92574,                 1.1254,                0.77951,                  0.677,                0.75402,                0.44794,                 1.4513,                 1.0034,                 1.1209,             0.00042925,             0.00042925,             0.00042925
                     48,                 1.4671,                 0.9162,                 1.1274,                0.78526,                0.66512,                0.73961,                0.45177,                 1.3877,                 1.0242,                 1.0986,             0.00040175,             0.00040175,             0.00040175
                     49,                 1.4797,                0.91882,                 1.1227,                0.77511,                0.67623,                0.74397,                0.44679,                 1.4367,                 1.0142,                 1.1137,             0.00037424,             0.00037424,             0.00037424
                     50,                 1.4624,                0.90545,                  1.118,                0.78315,                0.68487,                0.74949,                0.46389,                 1.3683,                0.97368,                 1.0943,             0.00034674,             0.00034674,             0.00034674
                     51,                 1.4786,                0.87691,                 1.1383,                  0.734,                0.68733,                0.74369,                0.44719,                  1.419,                 1.0184,                  1.105,             0.00031923,             0.00031923,             0.00031923
                     52,                 1.4685,                0.85259,                 1.1415,                0.80367,                0.64374,                0.73885,                0.44097,                 1.4446,                 1.0244,                 1.1158,             0.00029172,             0.00029172,             0.00029172
                     53,                 1.4631,                 0.8385,                 1.1339,                0.76141,                0.66975,                0.73941,                0.45124,                 1.4182,                0.98474,                 1.1287,             0.00026422,             0.00026422,             0.00026422
                     54,                 1.4523,                0.82718,                 1.1337,                0.79159,                 0.6642,                0.75438,                0.45503,                 1.4042,                0.98394,                 1.1045,             0.00023671,             0.00023671,             0.00023671
                     55,                  1.448,                0.82542,                   1.13,                0.75903,                0.69565,                0.74871,                0.45376,                 1.4227,                0.98541,                 1.1179,             0.00020921,             0.00020921,             0.00020921
                     56,                 1.4322,                0.80989,                 1.1204,                0.78084,                0.67993,                0.76069,                0.46461,                 1.3826,                0.98179,                  1.098,              0.0001817,              0.0001817,              0.0001817
                     57,                 1.4197,                0.81024,                 1.1156,                0.75718,                 0.6952,                0.74982,                0.46046,                 1.3856,                0.98885,                 1.1007,              0.0001542,              0.0001542,              0.0001542
                     58,                 1.4195,                0.80161,                 1.1116,                0.75759,                 0.6975,                0.74795,                0.45588,                 1.3977,                0.98141,                 1.1143,             0.00012669,             0.00012669,             0.00012669
                     59,                  1.416,                0.78716,                 1.1186,                0.75535,                0.69658,                0.74674,                 0.4593,                 1.3847,                0.97943,                  1.104,             9.9187e-05,             9.9187e-05,             9.9187e-05
